title_id,person_id,role,character_name
the-heiress-blacklisted-her-husband,alex-pychtin,lead,
pregnant-by-the-billionaire,alex-pychtin,lead,
daddy-s-best-friend-made-me-his-billionaire-wife,alex-pychtin,lead,
makeup-sex,anina-net,lead,
my-two-faced-billionaire-husband,anina-net,lead,
pregnant-with-my-infertile-alpha-king,anina-net,lead,
you-belong-with-me,eric-taylor-guilmette,lead,
the-unwanted-mate,eric-taylor-guilmette,lead,
campus-rivals,eric-taylor-guilmette,lead,Producer
love-blood,eric-taylor-guilmette,lead,Producer/Creator
true-luna,grace-swanson,supporting,
summer-skies,grace-swanson,supporting,
fated-deal-with-the-mafia-king,jake-hobbs,lead,
the-return-of-my-drama-queen,jake-hobbs,lead,
back-from-hell-to-take-my-bow,jake-hobbs,lead,
fated-to-my-forbidden-alpha,kasey-esser,lead,Alpha Alexander
your-husband-is-mine,kasey-esser,lead,
i-accidentally-hired-a-billionaire-husband,kasey-esser,lead,
hillbilly-girlie-marries-a-billionaire,kasey-esser,lead,
the-secret-of-my-billion-dollar-marriage,kasey-esser,lead,
goodbye-my-ceo,kasey-esser,lead,
the-alpha-s-daughter,kasey-esser,lead,
freeze-my-wanted-lover,kasey-esser,lead,
undercover-heiress,kasey-esser,lead,
my-alpha-my-forbidden-fate,kasey-esser,lead,
love-in-the-shadows,kasey-esser,lead,Producer
love-under-fire,kasey-esser,producer,
billionaire-ceo-s-obsession,nick-ritacco,lead,
fated-to-my-forbidden-vampire,nick-ritacco,lead,
surrender-to-my-dangerous-boss,nick-ritacco,lead,
fated-to-my-fiance-s-alpha-daddy,nick-ritacco,supporting,
